,Year-to-Date 2019
Aerospace/Defense,11
Apparel,14
Automotive,12
Cannabis,11
Chemical,4
Commodities,6
Construction,17
Consumer Products,30
Electronics,4
Energy,59
Entertainment/Leisure,75
Financial,129
FinTech,11
Food,70
Government/Non-Profit,339
Health Care/Products,107
Hospitals,121
Industrial Goods,57
Insurance,20
Legal,5
Media,28
Pharmaceutical,61
Real Estate,31
Retail,63
Services,84
Technology,216
Telecommunications,7
Transportation,31
Utility,17
