,Year to Date 2013
Aerospace/Defense,9
Apparel,6
Automotive,16
Chemical,6
Commodities,7
Computer,121
Construction,15
Consumer Products,27
Electronics,31
Energy,45
Entertainment/Leisure,48
Financial,143
Food,34
Government/Non-Profit,178
Health Care/Products,265
Industrial Goods,41
Insurance,18
Legal,5
Media,35
Pharmaceutical,41
Real Estate,25
Retail,33
Services,34
Telecommunications,30
Transportation,23
Utility,10
